

== [[:Kategorie:Gestorben 2011|Auswahl bekannter Verstorbener]] ==
Für die ausführliche Liste der Verstorbenen siehe [[Nekrolog 2011]].

18;Dezember;Václav Havel;Václav Havel
19;Dezember;George Athor Deng Dut;George Athor Deng Dut
19;Dezember;Horst-Eberhard Richter;Horst-Eberhard Richter
19;Dezember;Erwin Wirschaz;Erwin Wirschaz
21;Dezember;Jürgen Hentsch;Jürgen Hentsch
21;Dezember;Werner Otto (Unternehmer);Werner Otto
24;Dezember;Johannes Heesters;Johannes Heesters
26;Dezember;Kennan Adeang;Kennan Ranibok Adeang
26;Dezember;James Rizzi;James Rizzi
27;Dezember;Michael Dummett;Michael Dummett
29;Dezember;Leopold Hawelka;Leopold Hawelka
30;Dezember;Ronald Searle

<gallery>
Pete Postlethwaite.JPG|2. Januar: [[Pete Postlethwaite]] (2004)
Gerry Rafferty.jpg|4. Januar: [[Gerry Rafferty]] (1980)
Jiri Dienstbier.jpg|8. Januar: [[Jiří Dienstbier (Politiker, 1937)|Jiří Dienstbier]] (2009)
Stefanie Glaser June2009.jpg|14. Januar: [[Stephanie Glaser]] (2009)
Sargent Shriver 1961.jpg|18. Januar: [[Sargent Shriver]] (1961)
Park Wanso.jpg|22. Januar: [[Pak Wanso]] (2004)
Bernd Eichinger (cropped).jpg|24. Januar: [[Bernd Eichinger]] (2008)
PPZAHL2.jpg|24. Januar: [[Peter-Paul Zahl]] (2006)
John-barry-2006.jpg|30. Januar: [[John Barry (Filmkomponist)|John Barry]] (2006)
Maria schneider actress.jpg|3. Februar: [[Maria Schneider (Schauspielerin)|Maria Schneider]] (2001)
Gary Moore 2005.05.21 002-2.jpg|6. Februar: [[Gary Moore]] (2005)
2007-11-Helmut Ringelmann.jpg|20. Februar: [[Helmut Ringelmann]] (2007)
Suze-rotolo-1350834609.jpg|25. Februar: [[Suze Rotolo]] (2009)
Necmettin-Erbakan.jpg|27. Februar: [[Necmettin Erbakan]] (2006)
Annie Girardot Césars.jpg|28. Februar: [[Annie Girardot]] (2005)
Jane Russell LF.jpg|28. Februar: [[Jane Russell]] (2008)
Agnes-Marie Grisebach.jpg|6. März: [[Agnes-Marie Grisebach]] (2005)
Dietmar Mues.jpg|12. März: [[Dietmar Mues]] (2007)
Warren Christopher.jpg|18. März: [[Warren Christopher]] (?)
Knut IMG 8095.jpg|19. März: [[Knut (Eisbär)|Knut]] (2007)
Kurt Hauenstein Supermax Vienna 08-2008a.jpg|21. März: [[Kurt Hauenstein|Kurt „Supermax“ Hauenstein]] (2008)
Bundesarchiv Bild 183-K0516-0006-001, Madrid, Nikolai Andrianov.jpg|21. März: [[Nikolai Jefimowitsch Andrianow]] (1971)
Elizabeth Taylor36.JPG|23. März: [[Elizabeth Taylor]] (1985)
Rep. John Adler.jpg|4. April: [[John Adler]] (?)
Baruch Samuel Blumberg by Dominic Hart (NASA).jpg|5. April: [[Baruch Samuel Blumberg]] (1999)
